user_id,email,password,user_auth_group,can_be_used_in_prolube76DB01,can be used in DemoDB01
1,33@gmail.com,r4JmNRtFwe,0,1,1
2,333@gmail.com,uRbqqHXgPz,1,1,1
3,3333@gmail.com,ZRxBSUHX8u,21,1,1
4,33333@gmail.com,Sgy96tQjgC,21,1,1
5,4@gmail.com,kevY8KqgxP,4,1,1
6,55@gmail.com,6VppCrfyJL,5,1,1
7,66@gmail.com,q6JA7TyX9b,6,1,1
8,77@gmail.com,YnxjjF5h4L,11,1,1
9,88@gmail.com,fcpZKkJ5yw,3,1,1
10,99@gmail.com,4KaeGPw5jJ,3,1,1
11,10@gmail.com,vNcr7JATJb,12,1,1
12,zjucainiao@yahoo.com,U2fMR4Lbgu,88,1,1
24,testing-chicken-soup-spicy@gmail.com,XLqyutLSJD,0,1,0
25,testing-no-way-amigo@gmail.com,mALZtzQXqW,1,1,0
26,testing-4309dd@gmail.com,R9g9yhemeu,2,1,0
27,testing-4309323dd@gmail.com,NugKTpKcqM,2,1,0
28,testing-9iurweljfdd@gmail.com,qfdjKRYJpt,21,1,0
29,testing-rert@gmail.com,UZzxqsLQ7V,3,1,0
